28891,Haikyuu Second Season,,following their participation at the inter-high the karasuno high school volleyball team attempts to refocus their efforts aiming to conquer the spring tournament instead  when they receive an invitation from long-standing rival nekoma high karasuno agrees to take part in a large training camp alongside many notable volleyball teams in tokyo and even some national level players by playing with some of the toughest teams in japan they hope not only to sharpen their skills but also come up with new attacks that would strengthen them moreover hinata and kageyama attempt to devise a more powerful weapon one that could possibly break the sturdiest of blocks  facing what may be their last chance at victory before the senior players graduate the members of karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival aoba jousai and its world-class setter tooru oikawa ,8.82,,
23273,Shigatsu wa Kimi no Uso,,music accompanies the path of the human metronome the prodigious pianist kousei arima but after the passing of his mother saki arima kousei falls into a downward spiral rendering him unable to hear the sound of his own piano  two years later kousei still avoids the piano leaving behind his admirers and rivals and lives a colorless life alongside his friends tsubaki sawabe and ryouta watari however everything changes when he meets a beautiful violinist kaori miyazono who stirs up his world and sets him on a journey to face music again based on the manga series of the same name shigatsu wa kimi no uso approaches the story of kousei's recovery as he discovers that music is more than playing each note perfectly and a single melody can bring in the fresh spring air of april ,8.83,,following their participation at the inter-high the karasuno high school volleyball team attempts to refocus their efforts aiming to conquer the spring tournament instead  when they receive an invitation from long-standing rival nekoma high karasuno agrees to take part in a large training camp alongside many notable volleyball teams in tokyo and even some national level players by playing with some of the toughest teams in japan they hope not only to sharpen their skills but also come up with new attacks that would strengthen them moreover hinata and kageyama attempt to devise a more powerful weapon one that could possibly break the sturdiest of blocks  facing what may be their last chance at victory before the senior players graduate the members of karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival aoba jousai and its world-class setter tooru oikawa 
34599,Made in Abyss,,the abyss—a gaping chasm stretching down into the depths of the earth filled with mysterious creatures and relics from a time long past how did it come to be? what lies at the bottom? countless brave individuals known as divers have sought to solve these mysteries of the abyss fearlessly descending into its darkest realms the best and bravest of the divers the white whistles are hailed as legends by those who remain on the surface riko daughter of the missing white whistle lyza the annihilator aspires to become like her mother and explore the furthest reaches of the abyss however just a novice red whistle herself she is only permitted to roam its most upper layer even so riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy she comes to name him reg and he has no recollection of the events preceding his discovery certain that the technology to create reg must come from deep within the abyss the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes however they know not of the harsh reality that is the true existence of the abyss ,8.83,,music accompanies the path of the human metronome the prodigious pianist kousei arima but after the passing of his mother saki arima kousei falls into a downward spiral rendering him unable to hear the sound of his own piano  two years later kousei still avoids the piano leaving behind his admirers and rivals and lives a colorless life alongside his friends tsubaki sawabe and ryouta watari however everything changes when he meets a beautiful violinist kaori miyazono who stirs up his world and sets him on a journey to face music again based on the manga series of the same name shigatsu wa kimi no uso approaches the story of kousei's recovery as he discovers that music is more than playing each note perfectly and a single melody can bring in the fresh spring air of april 
5114,Fullmetal Alchemist: Brotherhood,,in order for something to be obtained something of equal value must be lost alchemy is bound by this law of equivalent exchange—something the young brothers edward and alphonse elric only realize after attempting human transmutation: the one forbidden act of alchemy they pay a terrible price for their transgression—edward loses his left leg alphonse his physical body it is only by the desperate sacrifice of edward's right arm that he is able to affix alphonse's soul to a suit of armor devastated and alone it is the hope that they would both eventually return to their original bodies that gives edward the inspiration to obtain metal limbs called automail and become a state alchemist the fullmetal alchemist three years of searching later the brothers seek the philosopher's stone a mythical relic that allows an alchemist to overcome the law of equivalent exchange even with military allies colonel roy mustang lieutenant riza hawkeye and lieutenant colonel maes hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive philosopher's stone but their country's murky history as well in between finding a serial killer and racing against time edward and alphonse must ask themselves if what they are doing will make them human again or take away their humanity ,9.23,,the abyss—a gaping chasm stretching down into the depths of the earth filled with mysterious creatures and relics from a time long past how did it come to be? what lies at the bottom? countless brave individuals known as divers have sought to solve these mysteries of the abyss fearlessly descending into its darkest realms the best and bravest of the divers the white whistles are hailed as legends by those who remain on the surface riko daughter of the missing white whistle lyza the annihilator aspires to become like her mother and explore the furthest reaches of the abyss however just a novice red whistle herself she is only permitted to roam its most upper layer even so riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy she comes to name him reg and he has no recollection of the events preceding his discovery certain that the technology to create reg must come from deep within the abyss the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes however they know not of the harsh reality that is the true existence of the abyss 
31758,Kizumonogatari III: Reiketsu-hen,,after helping revive the legendary vampire kiss-shot acerola-orion heart-under-blade koyomi araragi has become a vampire himself and her servant kiss-shot is certain she can turn him back into a human but only once regaining her full power  araragi has hunted down the three vampire hunters that defeated kiss-shot and retrieved her limbs to return her to full strength however now that araragi has almost accomplished what he’s been fighting for this whole time he has to consider if this is what he really wants once he revives this powerful immortal vampire there is no telling what she might do and there would be no way of stopping her but there is more to the story that araragi doesn’t understand if a newborn vampire like him could defeat the hunters how did they overpower kiss-shot? can he trust her to turn him back to a human? and how is that even possible in the first place? araragi is at his limit but he must come to a decision and it may not be possible to resolve this situation without doing something he’ll regret… ,8.83,,in order for something to be obtained something of equal value must be lost alchemy is bound by this law of equivalent exchange—something the young brothers edward and alphonse elric only realize after attempting human transmutation: the one forbidden act of alchemy they pay a terrible price for their transgression—edward loses his left leg alphonse his physical body it is only by the desperate sacrifice of edward's right arm that he is able to affix alphonse's soul to a suit of armor devastated and alone it is the hope that they would both eventually return to their original bodies that gives edward the inspiration to obtain metal limbs called automail and become a state alchemist the fullmetal alchemist three years of searching later the brothers seek the philosopher's stone a mythical relic that allows an alchemist to overcome the law of equivalent exchange even with military allies colonel roy mustang lieutenant riza hawkeye and lieutenant colonel maes hughes on their side the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive philosopher's stone but their country's murky history as well in between finding a serial killer and racing against time edward and alphonse must ask themselves if what they are doing will make them human again or take away their humanity 
37510,Mob Psycho 100 II,,shigeo mob kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others he and his mentor reigen arataka continue to deal with supernatural requests from clients whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens while the workflow remains the same mob isn't just blindly following reigen around anymore with all his experiences as a ridiculously strong psychic mob's supernatural adventures now have more weight to them things take on a serious and darker tone as the dangers mob and reigen face are much more tangible and unsettling than ever before ,8.89,,after helping revive the legendary vampire kiss-shot acerola-orion heart-under-blade koyomi araragi has become a vampire himself and her servant kiss-shot is certain she can turn him back into a human but only once regaining her full power  araragi has hunted down the three vampire hunters that defeated kiss-shot and retrieved her limbs to return her to full strength however now that araragi has almost accomplished what he’s been fighting for this whole time he has to consider if this is what he really wants once he revives this powerful immortal vampire there is no telling what she might do and there would be no way of stopping her but there is more to the story that araragi doesn’t understand if a newborn vampire like him could defeat the hunters how did they overpower kiss-shot? can he trust her to turn him back to a human? and how is that even possible in the first place? araragi is at his limit but he must come to a decision and it may not be possible to resolve this situation without doing something he’ll regret… 
199,Sen to Chihiro no Kamikakushi,,stubborn spoiled and na�ve 10-year-old chihiro ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house cautiously venturing inside she realizes that there is more to this place than meets the eye as strange things begin to happen once dusk falls ghostly apparitions and food that turns her parents into pigs are just the start—chihiro has unwittingly crossed over into the spirit world now trapped she must summon the courage to live and work amongst spirits with the help of the enigmatic haku and the cast of unique characters she meets along the way vivid and intriguing sen to chihiro no kamikakushi tells the story of chihiro's journey through an unfamiliar world as she strives to save her parents and return home ,8.9,,shigeo mob kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others he and his mentor reigen arataka continue to deal with supernatural requests from clients whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens while the workflow remains the same mob isn't just blindly following reigen around anymore with all his experiences as a ridiculously strong psychic mob's supernatural adventures now have more weight to them things take on a serious and darker tone as the dangers mob and reigen face are much more tangible and unsettling than ever before 
38000,Kimetsu no Yaiba,,ever since the death of his father the burden of supporting the family has fallen upon tanjirou kamado's shoulders though living impoverished on a remote mountain the kamado family are able to enjoy a relatively peaceful and happy life one day tanjirou decides to go down to the local village to make a little money selling charcoal on his way back night falls forcing tanjirou to take shelter in the house of a strange man who warns him of the existence of flesh-eating demons that lurk in the woods at night when he finally arrives back home the next day he is met with a horrifying sight—his whole family has been slaughtered worse still the sole survivor is his sister nezuko who has been turned into a bloodthirsty demon consumed by rage and hatred tanjirou swears to avenge his family and stay by his only remaining sibling alongside the mysterious group calling themselves the demon slayer corps tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity ,8.92,,stubborn spoiled and na�ve 10-year-old chihiro ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house cautiously venturing inside she realizes that there is more to this place than meets the eye as strange things begin to happen once dusk falls ghostly apparitions and food that turns her parents into pigs are just the start—chihiro has unwittingly crossed over into the spirit world now trapped she must summon the courage to live and work amongst spirits with the help of the enigmatic haku and the cast of unique characters she meets along the way vivid and intriguing sen to chihiro no kamikakushi tells the story of chihiro's journey through an unfamiliar world as she strives to save her parents and return home 
35247,Owarimonogatari 2nd Season,,following an encounter with oddity specialist izuko gaen third-year high school student koyomi araragi wakes up in a strange deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place  araragi with the help of his girlfriend hitagi senjougahara maneuvers through the webs of his past and the perplexities of the present in search of answers however fate once again delivers him to the eccentric transfer student ougi oshino who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored as araragi peels back the layers of mystery surrounding an apparition he discovers a truth not meant to be revealed ,8.93,,ever since the death of his father the burden of supporting the family has fallen upon tanjirou kamado's shoulders though living impoverished on a remote mountain the kamado family are able to enjoy a relatively peaceful and happy life one day tanjirou decides to go down to the local village to make a little money selling charcoal on his way back night falls forcing tanjirou to take shelter in the house of a strange man who warns him of the existence of flesh-eating demons that lurk in the woods at night when he finally arrives back home the next day he is met with a horrifying sight—his whole family has been slaughtered worse still the sole survivor is his sister nezuko who has been turned into a bloodthirsty demon consumed by rage and hatred tanjirou swears to avenge his family and stay by his only remaining sibling alongside the mysterious group calling themselves the demon slayer corps tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity 
2904,Code Geass: Hangyaku no Lelouch R2,,one year has passed since the black rebellion a failed uprising against the holy britannian empire led by the masked vigilante zero who is now missing at a loss without their revolutionary leader area 11's resistance group—the black knights—find themselves too powerless to combat the brutality inflicted upon the elevens by britannia which has increased significantly in order to crush any hope of a future revolt  lelouch lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at ashford academy his former partner cc unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind zero will rise once again to finish what he started in this thrilling conclusion to the series  ,8.93,,following an encounter with oddity specialist izuko gaen third-year high school student koyomi araragi wakes up in a strange deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place  araragi with the help of his girlfriend hitagi senjougahara maneuvers through the webs of his past and the perplexities of the present in search of answers however fate once again delivers him to the eccentric transfer student ougi oshino who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored as araragi peels back the layers of mystery surrounding an apparition he discovers a truth not meant to be revealed 
